,Additional Features,Age Group,Assembly Required,Battery Type,Battery Type for Remote,Battery Type for Toy,Body Features,Channels Supported,Character,Charging Time,Control Type,Country of Manufacture,Depth,Height,Ideal For,Ideal for,In-built Battery,Interactive Features,Material,Non-toxic,Number of Contents,Occasion,Other Body Features,Other Control Features,Other Features,Other Power Features,Other Power Requirements,Powered By,Powered by,Product Depth,Product Height,Product Weight,Product Width,Rechargeable,Remote Control Features,Remote Control Range,Safety Features,Scale,Series,Size,Sound Features,Sound Support,Speed Supported,Type,Volume Control,Warranty,Weight,Width
AFGDQBPHZHRWZJZZ,None,10 - 15 Years,Yes,,,,,,,,,China,5.9 cm,19.68 cm,,"Boys, Girls",,"Touch, Infrared and Color Sensor Support",,,1,,,,,,2 AAA Battery for Remote,Battery,,,7 inch,3995 g,,No,,,,,Mindstorms,7 inch,,,,Sci-fi & Fantasy Figures,,,,15.74 cm
BLCDJ5239EHG6YMH,None,9 - 14 Years,,,,,,,,,,Denmark,3.43,14.88,"Boys, Girls",,,,Plastic,,1254,,,,,,,,,,,,,,,,,,Star Wars,,,,,Houses & Building Sets,,,,22.91
BLCDXSXFTS5MVCQ3,None,6 - 12 Years,,3 AAA of 1.5 V Batteries,,,,,,,,China,,,"Boys, Girls",,,,Plastic,,860,,,,,,,,Battery,,,2900 g,,Yes,,,,,,,,,,Houses & Building Sets,,,,
BLCE3WYFNXHNK5ZT,,16 - 24 Years,,,,,,,,,,,,,,,,,Plastic Material,Yes,1869,,,,,,,,,,,,,,,,,,DC comics,,,,,Vehicles,,,,
BLCE65VDT3HWVNH7,,12 - 20 Years,,,,,,,,,,,,,"Boys, Girls",,,,,Yes,2523,,,,,,,,,,,,,,,,,,,,,,,Houses & Buildings,,,,
BLCE7YZVBXA6ZQBK,,6 - 12 Years,,,,,,,,,,,,,Boys::Girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vehicles,,,,
BLCE7ZARAJ27TADN,,,,,,,,,,,,,,,Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vehicles,,,,
BLCEY6K3YF4RWPTF,,11 - 16 Years,,,,,,,,,,,,,,,,,Plastic,Yes,1636,,,,,,,,,,,,,,,,,,Techno Blocks Series,,,,,Thematic Block sets,,,,
ETYE3YPFZB6GHFGZ,,12 - 30 Years,,4 AA Batteries,,,,,Quadcopter Kit,,,India,,,,,,,Plastic,,,,,,,,,,Battery,,,,,,,,,,,,,,,Science & Discovery,,,,
ETYE7QPW5B8GMXXZ,,10 - 40 Years,,1 Lipo Battery,,,,,"Quadcopter, Quadrotor, Multirotor, Aerial Vehicle",,,India,22 cm,14 cm,"Boys, Girls",,,,"Plastic, Metal",,1,"General, Birthday, Childrens Day, Holiday, Festivals","High Grade Glass Fiber Frame, Power Distribution Board Integrated Into The Frame, Battery Holding Space Provided, Mount For Flight Controller",,None,"Balance Charge Plug, Fast Charge Plug, Multi-rotor specific Design Form Factor, High Discharge, Quick Charge, Low leakage, Low Storage Discharge",,,Battery,200 mm,135 mm,1365 g,230 mm,Yes,,,,,Rotobotix Quadcopter Drones,,,,,Science & Discovery,,,1450 g,24 cm
RCTDSK6HDB2G9ZF7,,6 - 10 Years,Yes,,,2 x Lithium Polymer Battery Batteries,,Single Channel,,,"Water Resistance Electronic Controller, Controlled by WiFi with an iPad, iPhone or any Smartphone or Tablet with an Android, Fully Re-programmable Motor Controller, Emergency Stop Controlled by Software",,,,,,No,,"Foam, Nylon Plastic, Expanded Polypropylene, Carbon Fiber Tubes",,,,,,,,,,Battery,,22.4 inch,,22 inch,,"Reverse, Right, Forward, Left",50 m,,,,,,Yes,18 km/h,Planes & Helicopters,,1 Year Manufacturer Warranty,,
RCTDZ4U4GVJ4H8QV,,8 - 15 Years,Yes,,,1 x Lithium Polymer Battery Battery,,Single Channel,,,Wifi Control,,,,,,No,,"Expanded Polypropylene, Carbon Fiber Tubes, Foam, Nylon Plastic",,,,,,,,,,Battery,,22.4 inch,,22 inch,,"Forward, Reverse, Right, Left",50 m,,2:00,,,,Yes,18 km/h,Planes & Helicopters,,1 Year Manufacturer Warranty,,
RCTE22EHK2KAMYTD,,6 - 80 Years,No,,,1 x Lithium-Polymer Battery,,,Drone,,App Control,,,,,,No,,"Plastic, Metal, Rubber",,,,,,,,,,Battery,,19.3 cm,,20.5 cm,,"Forward, Reverse, Right, Left, Play, Pause, Jump",50 m,,,,,,,7 km/h,Robots & Robotics,,1 Year Manufacturer Warranty,,
RCTE22EHWGQ3FZDN,,6 - 70 Years,No,,,1 x Lithium-Polymer Battery,,,Drone,,App Control,,,,,,No,,"Plastic, Metal, Rubber",,,,,,,,,,Battery,,19.6 cm,,21 cm,,"Forward, Reverse, Right, Left, Play, Pause, Up, Down, Fly",20 m,,,,,,,18 km/h,Planes & Helicopters,,1 Year Manufacturer Warranty,,
RCTE24GG99HCYNZS,,6 - 80 Years,No,,,1 x Lithium-Polymer Battery,,,Drone,,App Control,,,,,,No,,"Plastic, Metal, Rubber",,,,,,,,,,Battery,,19.3 cm,,20.5 cm,,"Forward, Reverse, Right, Left, Play, Pause, Jump",50 m,,,,,,,7 km/h,Robots & Robotics,,1 Year Manufacturer Warranty,,
RCTE2YMFYAU8Y6ZU,,12 - 20 Years,No,,,,,,,,Radio Control,China,,,,,No,,Plastic,,,,,,,,,,Battery,,,,,,"Forward, Reverse, Right, Left, up, down",,,,,,,,25km/h,Planes & Helicopters,,,,
RCTE7X7HNHGZGDZB,,6 - 60 Years,No,,8 x AA Batteries,,Realistic Body Features And Color,,Hummer,5 Hours,Radio Control,,87 cm,38 cm,"Boys, Girls",,Yes,,ABS Plastic + Alloy,,,"Car Collections, Birthday, Off-Road Driving, Modifying Cars",,"3 Speed Shift Function With Indicator Light On The Controller, Front, Rear, Internal Lights Can Light Up Using Remote",None,,,,Battery,70 cm,37 cm,8000 g,33 cm,,"Forward, Backward, Left, Right, Stop, Brake, Horn",100 m,None,1:06,RC Off-Road HUMMER,,"Engine sound, Honking horn",Yes,35 km/h,"Tanks, Trucks & Big Vehicles",,,9000 g,43 cm
RCTE8C98UK5NRD4H,,14 - 20 Years,No,,6 x AA Batteries,1 x Li-po Battery 7.4V 350mAh Battery,,5 Channel,,60 Minutes,Radio Control,China,55 cm,15 cm,Boys,,Yes,,Plastic,,6,,,,,,,,Battery,45 cm,10.8 cm,400 g,45 cm,,"Forward, Reverse, Left, Right",50 m,None,,,,,No,,Planes & Helicopters,No,,500 g,60 cm
